,Date,User,Text
10,October 4,stickguy,"was not actually expecting one, but looks like Acura spent some money on updating the ILX. will be interested in seeing it in person. already had the TLX drivetrain, now seems to have the interior. Hopefully they did some updates to the driving dynamics too.

https://www.acura.com/future-vehicles/acura-ilx/?SP_RID=MjEyOTg4Mzk2NTM4S0&SP_MID=22319340&PROGRAMID=RHYNWSLT&CAMPAIGNCODE=AT9366&OFFERCODE=AT9366&CELLCODE=G1&PID=100286379&LINKNAME=www_acura_com_future_vehicles_acura_2&spMailingID=22319340&spUserID=MjEyOTg4Mzk2NTM4S0&spJobID=1323231396&spReportId=MTMyMzIzMTM5NgS2
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
11,12:14AM,carnaught,Like that new ILX. Some may critcize it as overstyled but I tend to like a little over styled.
12,1:31AM,benjaminhf,"AcuraWatch is now standard on the base 2019 ILX, instead of being a $1300 option. On top of that they've cut the base price by $2300. And so really it's a price cut of about $3500, which shows how much Acura hopes to get some sales. The ILX is now seemingly a good deal for the money, esp compared to say an Audi A3, which comparably equipped costs almost $10k more. The base msrp of the ILX is now $25,900. Unfortunately Acura didn't put CarPlay/AndroidAuto into the base model. But for $27,650 you can get the ILX Premium which adds CarPlay/AA, leather seats, upgraded stereo, power passenger seat, BLIS, built-in garage door opener, etc.

http://hondanews.com/acura-automobiles/releases/2019-acura-ilx-arrives-with-dynamic-new-styling-major-technology-upgrades-and-new-a-spec-treatment

Since the ILX weighs almost 500 pounds less than the TLX, but has almost the same engine and transmission, it is faster. I guess it's kind of a luxury Civic Si with an 8-speed dual clutch transmission....

Nothing that I see in the press release says anything about enhanced driving dynamics, so that's probably very close to the way it was before."
13,1:39AM,stickguy,"that is a pretty steep price cut. Wonder if they will eventually have big lease incentives on them!
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
14,1:51AM,benjaminhf,"stickguy said:
that is a pretty steep price cut. Wonder if they will eventually have big lease incentives on them!
My guess is that they are hoping to cut the lease incentive. But that means the monthly payments will probably be about the same as with the 2018s—c. $200 a month+ taxes and so on with c.$2500 das. In other words, only c.$30 a month and c.$500 more das than a lease on a Civic LX. But that's the best case scenario for the base model. The ILX Premium would obviously be a bit more...."
15,1:58AM,stickguy,"probably going to be some good deals on the handful of leftover 2018s soon. Though at least near me, not all that many to pick from and mostly base models.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
16,2:03AM,benjaminhf,"Currently there seems to be a $5000+ lease incentive on the last of the 2018 ILXs. But if you wait just a few months you can probably get almost as good a deal on one of the 2019s. Sedans just aren't selling, as you know, and so it's a buyer's market. I bet your local Acura dealer would give you top dollar for your Elantra Sport if you're willing to walk away. But imho the TLX is really the better car. I'd take a base TLX with the 4-wheel steering, slightly more room, etc., etc. over a loaded ILX. If you are considering the ILX, the new style will almost certainly have better resale value."
17,2:08AM,stickguy,"I would have to drive them back to back. I do find the ILX to be a better size for normal driving, though the extra room is nice when travelling, and the wife prefers a bigger car. So a TLX would be OK. no bigger than the Sonata I had was.

but I am not giving up goodies to get the bigger model. so would be comparing an ILX premium vs. a TLX tech.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
18,2:16AM,benjaminhf,"By the end of December I bet they will already be dealing on the 2019 ILXs. The ILX premium with the restyle and the $3.5k price cut is a good msrp. If you can get a good lease incentive of c.3k or so on top of that it should be a nice price/payment overall. The trick is the resale on your Elantra Sport. As you know, once I said I couldn't afford the TLX and it was clear I was willing to walk away, the trade-in offer on my 2016 Accord suddenly increased by quite a bit. I think you might get more from an Acura dealer for the Elantra Sport than from Carvana, esp. if you go in at the end of the sales period (end of Dec.?). They mentioned to me a few times that mine was one of the sales that put them over the top for their sales goal which helped them get a bit of a bonus from corporate."
19,2:34AM,andres3,"roadburner said:
Again, the local dealer are hopeless at best(What can I do to put ya in a car today, pal?)- and with the well know Hyundai proclivity to void warranties at the drop of a hat I could see problems with using it as my instructor car.
I just had a former Ford service advisor come to work for me in another industry. The subject of warranties came up, and he mentioned how Ford Focus RS owner's would come to him after obviously ""abusing"" their launch control button. IT was funny because his attitude wasn't like mine, which is ""why put a button or feature if the car can't handle it?"" His attitude was more like, the launch control is just for marketing, and you really shouldn't be using it if you wanted warranty covered.

I simply mentioned how Audi didn't really care, at least at the dealers I'd been too, and he admitted he's heard Ford is more ""stuck up"" than others, and heard/noticed that Honda will cover just about anything. He's a young guy so I'm sure he was just taking orders and instruction/training from more Senior Ford officials.

This confirms the stories you've heard about Ford voiding any reasonable honor of warranty.

Toy '16 Audi TTS quattro AWD, Commuter '17 VW Golf AllTrack SE 4-Motion AWD, Wife's '16 Kia Optima LX 1.6T FWD"
20,2:40AM,andres3,"I like wagons. I liked the Acura TSX wagon they used to make. Any chance they'll make a TLX wagon?
Toy '16 Audi TTS quattro AWD, Commuter '17 VW Golf AllTrack SE 4-Motion AWD, Wife's '16 Kia Optima LX 1.6T FWD"
21,2:44AM,benjaminhf,"andres3 said:
I like wagons. I liked the Acura TSX wagon they used to make. Any chance they'll make a TLX wagon?
No chance. Wagons are dead. Maybe sedans will be dead next? I wonder if in another couple of years even the ILX will be gone, replaced by an entry-level SUV about the size of the HRV."
22,2:57AM,stickguy,"Acura has room for both. I am surprised they have not come out yet with a CUV below the RDX in size. Could be a serious hit. that market is hot right now, and should work well with the Acura customer base (and younger people outgrowing (financially) the Honda brand, but wanting something smaller.
2018 Hyundai Elantra Sport (mine), and 2013 Acura RDX AWD (wife's)"
23,January 2016,houdini1,"abacomike said:
show previous quotes








Mike - that CLS is sexy & it knows it!  I like those wheels a lot!  The color looks fantastic too!

Thanks, Bradd.  

Yes Mike, very sharp !

2013 LX 570 2016 LS 460"
24,January 2016,houdini1,"ab348 said:
show previous quotes



Excellent. Sadly, I am unable to find a conversion for my ATS but look what else I found in my search!




I saw a car just like that last pic a few months ago. I didn't mention it because I thought no one would believe me.
2013 LX 570 2016 LS 460"
25,January 2016,Mr_Shiftright,"Cars with high belt lines just don't look good with the top up IMO.
MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
26,January 2016,abacomike,"
Even though mine is not a convertible, it has a very high belt line as well.  Compared to the E Class, I really don't feel comfortable lifting my left arm and leaning it on the door with the window down - it's just too high.
2018 Mercedes S450"
27,January 2016,driver100,"=





That last one is really nice...adds something special to the car.

Really, who in their right mind would...........

2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
28,January 2016,fezo,"abacomike said:
show previous quotes




If only it was a $60,000+ car.  MSRP was $78,475 but with fleet discounts, I paid $67,400 + tax, tags and fees.

Alas, I have no covered parking for my child  .  But I do keep it detailed every 6 months with an additive that has a sunscreen included.

Yeah, like you're really going to keep a car for six months.....

Coffee. I have a couple of good old fashioned percolators. They're great and cheap. Coffee can vary. Frequently Costco has either Gevalia or Dunkin' Donuts coffee. 8 o'clock is nice. I'm of the old school of coffee. ""what flavor would you like?"" ""Coffee flavored."" About a cup and half (well, mug actually) in the morning.

And now, for your entertainment we present insurance mathematics.

As you know my Miata had a mishap back in late October. The Miata seems to be about crashworthy as a Smart. Do not hit a dog. The dog will win.

Anyway, the insurance company has me take it to the body shop twice. Original estimate $3,900. Then they say the shop says to bring it back, there might be hidden damage behind the front bumper cover. Of course they find enough to kick it up to $5,015. Cash value of the car $6,250 (I'll be fine with that figure). Well, since the repair is more than 80% of the cash value they total it. I say fine, I'll keep it and figure it from there. Talk them into splitting the salvage value.so we get:

$6,250 Cash value of car.
+$437.50 sales tax
-$202.50 (half salvage value)
-$500 deductible
_______________
$5,985.00

They send me a check. So instead of just paying the body shop $5,015 they pay me just short of 6 grand. I imagine this is how the government works.

Body shop did a fantastic job. Insurance company sends a guy out to see if it was all well which it is so Friday maybe I call the insurance company to tell them they can put the comprehensive and collision back on the car and I can drive it without fear.
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
29,January 2016,explorerx4,"the only cool 4 door convertible

2017 Ford Fusion SE 2017 Ford F-150 Limited"
30,January 2016,oldfarmer50,"roadburner said:
show previous quotes

We have a Keurig, but it hasn't seen as much use since we bought a Technivorm Moccamaster:



I have a no name Walmart brand coffee maker that cost $9.96 plus tax. Makes coffee good enough for me.



2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
31,January 2016,oldfarmer50,"
Mustang owners. I was behind a newer Mustang (I have no idea what year they are any more, but I can tell the newer ones) and it looked really sharp in Candy Apple Red.
I noticed it had sequential rear turn signal lights.......is that on all models?
Yes
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
32,January 2016,roadburner,"
Mine: 1995 318ti Club Sport / 2014 M235i / 1999 Wrangler / 1996 Speed Triple Challenge Cup Replica Wife's: 2016 i3 REX/2009 Cooper Clubman Son's: 2009 328i"
33,January 2016,oldfarmer50,"houdini1 said:
show previous quotes








I saw a car just like that last pic a few months ago. I didn't mention it because I thought no one would believe me.
Last car that looked good with vinyl.



2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
34,January 2016,abacomike,"
I had a 1967 Cougar 3-speed stick and it had the sequential turn signal lights in the rear.  Imagine, a 3-pedal Cougar with a 3-speed stick.  I loved it - white with red interior.
2018 Mercedes S450"
35,January 2016,oldfarmer50,"

I found this:

Published on Oct 21, 2013.
On the 2010-2014 Mustangs, Ford added sequential tail lights as standard equipment but they only got it partially right. Ford only sequenced the turn signal function of the tail lights.

s.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
36,January 2016,abacomike,"@oldfarmer50:

My Dad had a 1974 Cadillac Coupe DeVille with light blue body paint and white leather interior with a white Landau Vinyl Roof.  Gorgeous car.  They drove from New York to their new condo in North Miami Beach that year - my Dad decided to retire.  They bought the Condo in 1971 (6th floor with 2 terraces overlooking Sky Lake).  They would fly down once a month for a 1-week respite from winter.  After a couple of years, my Dad decided that he could no longer live in the freezing cold and just decided to retire.

But 4 days before moving to North Miami Beach (the place to be in the early 70's), he said he walked into his Cadillac dealership in Long Island City and picked out the blue Coupe DeVille.  That was some vehicle.
2018 Mercedes S450"
37,January 2016,berri,"ab348 - Thanks for the vinyl roof tour. A Prilosec settled things down for me

Isell - If someone wants to go beyond index funds, but doesn't have a lot of experience, I think Edward Jones is a good bet for investors.

Aba - Nice looking ride, just resist those Miami urges to mess with it...remember, they don't film Miami Vice anymore"
38,January 2016,abacomike,"
LOL!  . No way, berri.  I like it just the way it is.  But I can't see into the future to determine what the next owner will do with it. 
2018 Mercedes S450"
39,January 2016,driver100,"

s.

Thanks roadburner and oldfarmer for the info about sequential rear lights.

Out of curiosity, I read this sentence and wondered, where else would you use them?

Ford added sequential tail lights as standard equipment but they only got it partially right. Ford only sequenced the turn signal function of the tail lights

Mike had those other dates, 64 T-Bird and 67 Cougar.


2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
40,January 2016,roadburner,"isellhondas said:

I wouldn't buy any individual stocks. Every time I did I either lost money or they went stagnant.

I would invest as much money as possible into several well run mutual funds.

For over 20 years we've had good luck with our Edward Jones guy although I'm sure some are better than others. It took me a long time to totally trust him but he has never steered us wrong.

Anyway, I'm sure others would disagree.


That's what we've done, except we use a local independent financial advisor. No complaints.
Mine: 1995 318ti Club Sport / 2014 M235i / 1999 Wrangler / 1996 Speed Triple Challenge Cup Replica Wife's: 2016 i3 REX/2009 Cooper Clubman Son's: 2009 328i"
41,January 2016,js06gv,"




s.

Thanks roadburner and oldfarmer for the info about sequential rear lights.

Out of curiosity, I read this sentence and wondered, where else would you use them?

Ford added sequential tail lights as standard equipment but they only got it partially right. Ford only sequenced the turn signal function of the tail lights

Mike had those other dates, 64 T-Bird and 67 Cougar.




Info is correct. They came ""back"" with the 2010 restyle. My 2011 had them. Before that, I didn't remember seeing them since the 60s and the Cougar is the one that seemed the most popular at the time. I had the same question as you about that strange comment in the quote. Only thing I can think of is maybe on the old Cougars and T-Birds, the sequential thing also happened when the brakes were applied? I can't remember.

2016 Kia Optima SX, 2015 Ford Mustang GT, 2013 Ford F-150 King Ranch, 2000 Pontiac Trans Am WS6, 2001 Kawasaki Vulcan 800 Classic"
42,January 2016,ab348,"oldfarmer50 said:
show previous quotes

I found this:

Published on Oct 21, 2013.
On the 2010-2014 Mustangs, Ford added sequential tail lights as standard equipment but they only got it partially right. Ford only sequenced the turn signal function of the tail lights.

s.
I don't understand that first part.

I remember reading that those '60s Ford sequential turn signals were a bit of an electromechanical nightmare, with relays and points and some such thing. I suppose the modern ones are just controlled by a computer.

I remember as a kid seeing them operate on a '67 Cougar and thought that was just the coolest thing. I seem to remember that Mercury advertised them as being like the flicking of a cougar's tail.
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
43,January 2016,abacomike,"ab348 said:

I found this: Published on Oct 21, 2013. On the 2010-2014 Mustangs, Ford added sequential tail lights as standard equipment but they only got it partially right. Ford only sequenced the turn signal function of the tail lights. s.
I don't understand that first part. I remember reading that those '60s Ford sequential turn signals were a bit of an electromechanical nightmare, with relays and points and some such thing. I suppose the modern ones are just controlled by a computer. I remember as a kid seeing them operate on a '67 Cougar and thought that was just the coolest thing. I seem to remember that Mercury advertised them as being like the flicking of a cougar's tail.
I remember exactly what I paid for that 1967 Cougar 3-speed stick - $2750.00 OTD.  I admit it was a basic car - no A/C.  But it was a looker - picked up lots of lady friends with that car. 
2018 Mercedes S450"
44,January 2016,js06gv,"sda said:
show previous quotes









That commercial makes me smile everytime I see it and I can relate. Sorry about your Mustang, however. It is bad enough it got dinged, but no note--just wrong.
Yes, hardly the end of the world considering what else it could've been but still maddening. Total damage was just under $1,100. I pick it up tomorrow morning.

Trying to figure out which commercial it is that you mentioned. Don't think I've ever seen it.
2016 Kia Optima SX, 2015 Ford Mustang GT, 2013 Ford F-150 King Ranch, 2000 Pontiac Trans Am WS6, 2001 Kawasaki Vulcan 800 Classic"
45,January 2016,roadburner,"When I was thinking of buying a 1967 Cougar XR-7(Garage Queen- less than 10k miles) a few years ago I did some research and learned that at least one company made a plug-and-play solid state replacement for the motor driven sequential turn signal module.
Mine: 1995 318ti Club Sport / 2014 M235i / 1999 Wrangler / 1996 Speed Triple Challenge Cup Replica Wife's: 2016 i3 REX/2009 Cooper Clubman Son's: 2009 328i"
46,January 2016,fezo,"explorerx4 said:
the only cool 4 door convertible

It's a beaut!
2013 Mazda 5 Grand Touring, 2010 Toyota Prius IV. 2007 Toyota Camry XLE, 2004 Toyota Camry LE, 1999 Mazda Miata"
47,January 2016,oldfarmer50,"roadburner said:
show previous quotes










That's what we've done, except we use a local independent financial advisor. No complaints.
Any opinions on the current stock market downturn? Looking for another 350 points today. Is it time to panic?
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
48,January 2016,fordfool,"> I remember exactly what I paid for that 1967 Cougar 3-speed stick - $2750.00 OTD.  
> I admit it was a basic car - no A/C.  

The sticker from my 1968 Cougar XR-7: Base $2933.42, Select Shift Auto $206.65, deluxe wheel covers,
oxford roof, power steering, tinted glass, AM radio $328.54, and transportation $59 = $3527.61

Oh, for those old time prices! Anyone remember Blue Grass Mercury on Shelbyville Road, Louisville?"
49,January 2016,bwia,"
It depends on your risk tolerance. The market has an amazing way of self correcting itself so no need to panic unless you are heavily invested in Chinese equity securities."
50,January 2016,driver100,"
Never time to panic! Market has always come back, and if it doesn't we are all doomed anyway.

I like using an independent adviser as they are not emotionally involved. People who do their own portfolio need nerves of steel, or they will buy and sell at the wrong time.

I like the attitude that this downturn is a buying opportunity. And, I saw a clever add which said usually when things go on sale you buy them, but, people don't buy stocks when they are on sale.

When markets are like this I hope there is cash in the account and our advisers are buying. And it I didn't have advisers good index funds outperform most brokers. I know people who bought into gold and lost big time, and people who kept buying oil thinking it could only go up. A good index fund generally rises because the market rises over time.....but individual stocks and market sectors can change on a dime, examples, oil, gold, VW, Chipotle............


2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
51,January 2016,driver100,"I got two insurance questions.
1) If I get a stone chip in my windshield will insurance pay for that - less deductible? Will it affect my insurance rates?

2)What amount of liability coverage makes sense? In Canada $1million is normal, some people are getting $3million because you could hit a bus or something and injure or kill a number of people.

In Florida they said $300k was the most they would sell, because they can't take away your house and most people would have less than that in savings. I think they also insinuated awards rarely exceed $300k. We got $1 million 3 years ago because that is what we are used to....this year our insurance company said the max is $300k, but they will give us $1 million as we are grandfathered in.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
52,January 2016,driver100,"Whenever the topic of sequential tail lights come up I love posting this picture:

2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
53,January 2016,carnaught,"Michaell said:

We had a Keurig. Got rid of it after reading about issues with germs and such.
Replaced it with a Ninja. Uses a filter (!). But, can make fancy coffee drinks as well as a cup 'o joe.



No coffee maker is immune to bacteria or molds. Re: Keurig and micro-organisms, this is a quote from Snopes on it:

""Nothing about Keurigs or any other food or beverage device makes them immune from day-to-day grime-collecting, and anything that dispenses consumable food or drink should be regularly examined for signs of grubbiness. Mold growth is not exclusive to the Keurig; and while the water reservoir is a larger cleaning chore, checking regularly will lessen mold and bacteria problems. As the quoted portion above suggested, visible mold in any coffeemaker is a strong signal it needs to be cleaned.

Last updated: 19 May 2015"""
54,January 2016,Mr_Shiftright,"It was appraised for $15,000 for insurance purposes. There are other photos of equally interesting parts of the car but I don't know how much pain people can stand here.
MODERATOR --Need help with anything? Click on my name!
Share Your Vehicle Reviews Here"
55,January 2016,oldfarmer50,"abacomike said:


I hope this worked.
Sweet. For some reason I thought it was black but white looks much better. Better in the Florida sun too.
2015 Mustang GT, 2009 PT Cruiser, 2004 Chevy Van, 2000 Chrysler Sebring convertible"
56,January 2016,roadburner,"

I love my Keurig and the coffee I get is as good as any store bought coffee, usually better. Plus the ease of use. I am not a coffee addict, but my Keurig is worth it's weight in gold to me.
We have a Keurig, but it hasn't seen as much use since we bought a Technivorm Moccamaster:



Mine: 1995 318ti Club Sport / 2014 M235i / 1999 Wrangler / 1996 Speed Triple Challenge Cup Replica Wife's: 2016 i3 REX/2009 Cooper Clubman Son's: 2009 328i"
57,January 2016,suydam,"At a little boutique hotel in Manhattan they had a Nespresso, which I thought made excellent coffee and espresso drinks. If I was going to go the single cup route that's what i would get.
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
58,January 2016,stever,"Something about having a machine that has to be plugged in to work scares me. I boil my water in an electric kettle but if need be, I can start a fire in the yard and still pour hot water over my grounds and get my fix.

Funny how the coffee wars are worse than the Ford/Chevy, regular/premium and dead dino/synthetic wars are."
59,January 2016,suydam,"I much prefer a French press. No machinery!
'14 Buick Encore Convenience
'17 Chevy Volt Premiere"
60,January 2016,abacomike,"oldfarmer50 said:
show previous quotes



Sweet. For some reason I thought it was black but white looks much better. Better in the Florida sun too.
It has an almost white interior as well. Much cooler, however I will have to have the interior detailed more frequently due to the white leather. The interior dash, upper side panels, roof liner and carpeting are black - but the door panels where the stereo speakers are and arm rests and center console are all stitched white leather with dark gray stitching. The wood is black ash.
2018 Mercedes S450"
61,January 2016,abacomike,"I drink one large mug of coffee per day in the morning - never any more than that. I personally do not see any reason to have one of those espresso or big machines for my needs.

I bought a Mr. Coffee filtered drip coffee maker with a 4 cup glass coffee pot. I use Folgers ""House Blend"" coffee only - it's the only brand and grind that I truly enjoy. My favorite is Dunkin' Donuts Coffee, but I refuse to spend that much money on 1 mug of coffee per day, IMHO.

I realize many of you take your coffee seriously (as opposed to black, dark, with or without cream) - thank goodness that's one thing in my life I do not get up tight about.
2018 Mercedes S450"
62,January 2016,sda,"oldfarmer50 said:
show previous quotes



The Mustang!!! Noooooooooooooooo!





BTW, on the Altima my BIL has a 3.5L 2015 with the CVT. seems to shift smoothly (it really doesn't shift but you know what I mean) no lurching or whining. He has the paddle shifters so he can approximate the feel of shifting. Very strong motor.
That commercial makes me smile everytime I see it and I can relate. Sorry about your Mustang, however. It is bad enough it got dinged, but no note--just wrong.
2010 Pilot EXL-RES, 2013 Accord EX"
63,January 2016,mako1a,"Mike, whaaat? A 60 plus thousand dollar car sitting out in the weather.
Every farmer knows you keep your best tool under a shed.
2013 Mustang GT, 2001 GMC Yukon Denali"
64,January 2016,driver100,"Mike, car looks great....and white on white is a good choice for Florida.

I guess they don't do the black panoramic roof on that model...not enough room for it between the front windshield and rear window,

I noticed the sunroof in my E400 is greatly improved. It is large and lets in just enough light so the car seems less enclosed....but it filters out the really strong rays. To me it is perfect.
2017 MB E400 , 2015 MB GLK350, 2014 MB C250"
65,January 2016,abacomike,"
If only it was a $60,000+ car.  MSRP was $78,475 but with fleet discounts, I paid $67,400 + tax, tags and fees.

Alas, I have no covered parking for my child  .  But I do keep it detailed every 6 months with an additive that has a sunscreen included.
2018 Mercedes S450"
66,January 2016,sda,"Who knows what the long term holds, RUG is $1.59.9 and PUG $1.99.9 locally.
2010 Pilot EXL-RES, 2013 Accord EX"
67,January 2016,andres3,"No note sucks big time when someone dings you in a parking lot. Especially when someone hits a pricey and valuable ""newer"" car with more than a little ""ding."" My estimate is $900 to fix, and I don't want to deal with it. I'm waiting for some other idiot to rear-end me and then they will have to pick up the tab.
Toy '16 Audi TTS quattro AWD, Commuter '17 VW Golf AllTrack SE 4-Motion AWD, Wife's '16 Kia Optima LX 1.6T FWD"
68,January 2016,roadburner,"abacomike said:
I drink one large mug of coffee per day in the morning - never any more than that.
As my dad liked to say, ""I spill that much before breakfast.""

Mine: 1995 318ti Club Sport / 2014 M235i / 1999 Wrangler / 1996 Speed Triple Challenge Cup Replica Wife's: 2016 i3 REX/2009 Cooper Clubman Son's: 2009 328i"
69,January 2016,imidazol97,"A regional chain of quick market/gas stations in SW Ohio called UDF (United Dairy Farmer) has coffee.
I love the decaf they use. Add a few ounces of french vanilla cappuccino and then
add a few ounces of skim milk. 99 cents to refill my 32 ounce large insulated travel
mugs that are tall and narrow so they fit in the normal several cup holders in my
cars.

Life is good. I don't mess with little cups and brewing machines sitting on my
counter the rest of the day.
2015 Cruze 2LT, 2014 Malibu 2LT, 2008 Cobalt 2LT"
70,January 2016,abacomike,"
No, they don't make a panoramic sunroof - but I wouldn't get one anyway - I rarely use the regular moonroof.  I was very hesitant about getting the white interior but so far not a problem - it's called porcelain which is an off-white.  The color of the car is Diamond White Metalic (optional at additional cost) which is an off-white with a pearlescence.  I am very happy with the car.  One of the best looking cars on the market.
2018 Mercedes S450"
71,January 2016,stever,You should move to California. Be closer to a kiddo and you wouldn't need to buy car tags any more.
72,January 2016,ab348,"
Mike, car looks great....and white on white is a good choice for Florida.

I guess they don't do the black panoramic roof on that model...not enough room for it between the front windshield and rear window,

I noticed the sunroof in my E400 is greatly improved. It is large and lets in just enough light so the car seems less enclosed....but it filters out the really strong rays. To me it is perfect.
And the coach-style vinyl roof really wouldn't work on Mike's car. But I think Driver's E-Class is perfect for such an enhancement with that nice squared-off roofline...
2017 Cadillac ATS Performance Premium 3.6, 1968 Oldsmobile Cutlass S Holiday Coupe"
